0,0,0
35,0,0
60,0,0
85,0,0
110,0,0
135,0,0
160,0,0
185,0,0
210,0,0
235,0,0
235,60,-1
235,85,-1
235,110,-1
235,110,0
210,110,0
185,110,0
160,110,0
135,110,0
110,110,0
85,110,0
60,110,0
35,110,0
0,110,0
35,145,1
35,170,1
35,195,1
35,220,1
0,245,0
35,245,0
60,245,0
85,245,0
110,245,0
135,245,0
160,245,0
185,245,0
210,245,0
235,245,0
235,305,-1
235,330,-1
235,355,-1
235,355,0
210,355,0
185,355,0
160,355,0
135,355,0
110,355,0
85,355,0
60,355,0
35,355,0
0,355,0
35,330,1
35,305,1
35,280,1
235,245,-1
235,220,-1
235,195,-1
235,170,-1
35,85,1
35,60,1
35,35,1
